"No.","Time","Source","Destination","Protocol","Length","Info"
"1198","14:48:02.154988210","10.0.0.6","10.0.0.5","TCP","58","[TCP Retransmission] 12345  >  4334 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1460"
"1199","14:48:02.154991050","10.0.0.6","10.0.0.4","TCP","58","[TCP Retransmission] 12345  >  2482 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1460"
"1200","14:48:02.155065203","10.0.0.5","10.0.0.6","TCP","54","4334  >  12345 [RST] Seq=1 Win=0 Len=0"
"1201","14:48:02.155067957","10.0.0.4","10.0.0.6","TCP","54","2482  >  12345 [RST] Seq=1 Win=0 Len=0"
"1202","14:48:02.186988427","10.0.0.6","10.0.0.3","TCP","58","[TCP Retransmission] 12345  >  60162 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1460"
"1203","14:48:02.187014984","10.0.0.3","10.0.0.6","TCP","54","60162  >  12345 [RST] Seq=1 Win=0 Len=0"
"1204","14:48:02.520429059","10.0.0.5","10.0.0.6","TCP","554","2905  >  12345 [SYN] Seq=0 Win=512 Len=500"
"1205","14:48:02.520465194","10.0.0.6","10.0.0.5","TCP","58","12345  >  2905 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1460"
"1206","14:48:02.523286996","10.0.0.4","10.0.0.6","TCP","554","1749  >  12345 [SYN] Seq=0 Win=512 Len=500"
"1207","14:48:02.523318878","10.0.0.6","10.0.0.4","TCP","58","12345  >  1749 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1460"
"1208","14:48:02.567979204","10.0.0.3","10.0.0.6","TCP","554","40270  >  12345 [SYN] Seq=0 Win=512 Len=500"
"1209","14:48:02.568020390","10.0.0.6","10.0.0.3","TCP","58","12345  >  40270 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1460"
"1210","14:48:02.602988587","10.0.0.6","10.0.0.5","TCP","58","[TCP Retransmission] 12345  >  47321 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1460"
"1211","14:48:02.603021108","10.0.0.5","10.0.0.6","TCP","54","47321  >  12345 [RST] Seq=1 Win=0 Len=0"
"1212","14:48:02.603104920","10.0.0.6","10.0.0.4","TCP","58","[TCP Retransmission] 12345  >  49018 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1460"
"1213","14:48:02.603126000","10.0.0.4","10.0.0.6","TCP","54","49018  >  12345 [RST] Seq=1 Win=0 Len=0"
"1214","14:48:02.667047141","10.0.0.6","10.0.0.3","TCP","58","[TCP Retransmission] 12345  >  24060 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1460"
"1215","14:48:02.667079858","10.0.0.3","10.0.0.6","TCP","54","24060  >  12345 [RST] Seq=1 Win=0 Len=0"
"1216","14:48:02.982246895","10.0.0.4","10.0.0.6","TCP","554","44601  >  12345 [SYN] Seq=0 Win=512 Len=500"
"1217","14:48:02.982289980","10.0.0.6","10.0.0.4","TCP","58","12345  >  44601 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1460"
